time,key,event,hold_time
1757144590.272983,'f',press,
1757144590.316155,'j',press,
1757144590.3550332,'f',release,0.082
1757144590.4073632,'j',release,0.091
1757144590.48833,'f',press,
1757144590.51865,'f',release,0.03
1757144590.54606,'i',press,
1757144590.593482,'i',release,0.047
1757144590.7988758,Key.space,press,
1757144590.8788779,Key.space,release,0.08
1757144591.17524,'f',press,
1757144591.2251499,'f',release,0.05
1757144591.561873,'n',press,
1757144591.630455,'n',release,0.069
1757144591.740291,'k',press,
1757144591.742453,'j',press,
1757144591.776333,'k',release,0.036
1757144591.7921689,'n',press,
1757144591.79865,'j',release,0.056
1757144591.8370008,'n',release,0.045
1757144591.9227362,'f',press,
1757144592.009384,'f',release,0.087
1757144592.706033,Key.space,press,
1757144592.790899,Key.space,release,0.085
1757144592.989256,'e',press,
1757144593.0109289,'w',press,
1757144593.072188,'w',release,0.061
1757144593.169203,'e',release,0.18
1757144593.296981,'u',press,
1757144593.386893,'u',release,0.09
1757144593.567049,'f',press,
1757144593.752809,'f',release,0.186
1757144593.9169972,Key.space,press,
1757144594.055973,Key.space,release,0.139
1757144594.3517299,Key.backspace,press,
1757144594.443157,Key.backspace,release,0.091
1757144594.658616,Key.backspace,press,
1757144594.724761,Key.backspace,release,0.066
1757144594.875733,Key.backspace,press,
1757144594.9360142,Key.backspace,release,0.06
1757144595.0462239,Key.backspace,press,
1757144595.116767,Key.backspace,release,0.071
1757144595.2279308,'v',press,
1757144595.3853838,'v',release,0.157
1757144595.9932008,Key.space,press,
1757144596.093876,Key.space,release,0.101
1757144596.2399921,'e',press,
1757144596.2470798,'j',press,
1757144596.27718,'j',release,0.03
1757144596.285321,'e',release,0.045
1757144596.322471,'f',press,
1757144596.379806,'f',release,0.057
1757144596.403597,'i',press,
1757144596.4787998,'i',release,0.075
1757144597.003581,'n',press,
1757144597.05865,'d',press,
1757144597.0670779,'n',release,0.063
1757144597.143729,'d',release,0.085
1757144597.174721,'f',press,
1757144597.22913,'f',release,0.054
1757144597.427498,Key.space,press,
1757144597.50876,Key.space,release,0.081
1757144597.618528,'j',press,
1757144597.677732,'j',release,0.059
1757144597.701442,'f',press,
1757144597.783335,'f',release,0.082
1757144598.116131,'j',press,
1757144598.1663659,'j',release,0.05
1757144600.3075142,Key.esc,press,
1757144600.4052951,Key.esc,release,0.098
