timestamp,perclos,avg_eye_speed,avg_fixation,max_fixation,fixation_fatigue_flag
2025-11-02 12:42:28,12.37,30.77,0.08,1.09,0
2025-11-02 12:42:28,12.24,32.16,0.08,1.09,0
2025-11-02 12:42:28,12.12,32.65,0.08,1.09,0
2025-11-02 12:42:28,12.0,32.31,0.08,1.09,0
2025-11-02 12:42:28,11.88,31.85,0.08,1.09,0
2025-11-02 12:42:28,11.76,31.43,0.08,1.09,0
2025-11-02 12:42:28,11.65,32.88,0.07,1.09,0
2025-11-02 12:42:28,11.54,32.42,0.07,1.09,0
2025-11-02 12:42:28,12.38,32.42,0.07,1.09,0
2025-11-02 12:42:28,12.26,31.59,0.08,1.09,0
2025-11-02 12:42:28,13.08,31.59,0.08,1.09,0
2025-11-02 12:42:28,12.96,31.22,0.08,1.09,0
2025-11-02 12:42:28,13.76,31.22,0.08,1.09,0
2025-11-02 12:42:28,14.55,31.22,0.08,1.09,0
2025-11-02 12:42:28,14.41,30.86,0.08,1.09,0
2025-11-02 12:42:28,14.29,30.45,0.08,1.09,0
2025-11-02 12:42:29,15.04,30.45,0.08,1.09,0
2025-11-02 12:42:29,15.79,30.45,0.08,1.09,0
2025-11-02 12:42:29,16.52,30.45,0.08,1.09,0
2025-11-02 12:42:29,17.24,30.45,0.08,1.09,0
2025-11-02 12:42:29,17.09,30.16,0.08,1.09,0
2025-11-02 12:42:29,16.95,29.8,0.08,1.09,0
2025-11-02 12:42:29,16.81,29.44,0.08,1.09,0
2025-11-02 12:42:29,16.67,29.77,0.08,1.09,0
2025-11-02 12:42:29,16.53,30.45,0.08,1.09,0
2025-11-02 12:42:29,16.39,30.79,0.08,1.09,0
2025-11-02 12:42:29,16.26,32.09,0.08,1.09,0
2025-11-02 12:42:29,16.13,32.65,0.08,1.09,0
2025-11-02 12:42:29,16.0,32.91,0.08,1.09,0
2025-11-02 12:42:29,15.87,33.48,0.08,1.09,0
2025-11-02 12:42:29,15.75,33.67,0.08,1.09,0
2025-11-02 12:42:29,15.62,34.2,0.08,1.09,0
2025-11-02 12:42:29,15.5,34.2,0.08,1.09,0
2025-11-02 12:42:29,15.38,34.2,0.08,1.09,0
2025-11-02 12:42:30,15.27,33.87,0.08,1.09,0
2025-11-02 12:42:30,15.15,33.87,0.08,1.09,0
2025-11-02 12:42:30,15.04,33.87,0.08,1.09,0
2025-11-02 12:42:30,15.67,33.87,0.08,1.09,0
2025-11-02 12:42:30,15.56,33.53,0.08,1.09,0
2025-11-02 12:42:30,15.44,33.22,0.08,1.09,0
2025-11-02 12:42:30,15.33,32.94,0.08,1.09,0
2025-11-02 12:42:30,15.22,32.62,0.08,1.09,0
2025-11-02 12:42:30,15.11,32.35,0.08,1.09,0
2025-11-02 12:42:30,15.0,32.05,0.08,1.09,0
2025-11-02 12:42:30,14.89,32.05,0.08,1.09,0
2025-11-02 12:42:30,14.79,31.78,0.08,1.09,0
2025-11-02 12:42:30,14.69,31.78,0.08,1.09,0
2025-11-02 12:42:30,14.58,31.48,0.08,1.09,0
2025-11-02 12:42:30,14.48,31.48,0.08,1.09,0
2025-11-02 12:42:30,14.38,31.19,0.08,1.09,0
2025-11-02 12:42:30,14.29,31.19,0.08,1.09,0
2025-11-02 12:42:30,14.19,31.19,0.08,1.09,0
2025-11-02 12:42:30,14.09,31.19,0.08,1.09,0
2025-11-02 12:42:30,14.0,31.19,0.08,1.09,0
2025-11-02 12:42:30,13.91,31.19,0.08,1.09,0
2025-11-02 12:42:30,13.82,31.19,0.08,1.09,0
2025-11-02 12:42:30,13.73,31.19,0.08,1.09,0
2025-11-02 12:42:30,13.64,30.91,0.08,1.09,0
2025-11-02 12:42:30,13.55,30.49,0.08,1.09,0
2025-11-02 12:42:31,13.46,30.49,0.08,1.09,0
2025-11-02 12:42:31,13.38,30.37,0.08,1.09,0
2025-11-02 12:42:31,13.29,30.37,0.08,1.09,0
2025-11-02 12:42:31,13.21,30.1,0.08,1.09,0
2025-11-02 12:42:31,13.12,29.83,0.08,1.09,0
2025-11-02 12:42:31,13.04,29.83,0.08,1.09,0
2025-11-02 12:42:31,12.96,29.83,0.08,1.09,0
2025-11-02 12:42:31,12.88,29.83,0.08,1.09,0
2025-11-02 12:42:31,12.8,29.83,0.08,1.09,0
2025-11-02 12:42:31,12.73,29.83,0.08,1.09,0
2025-11-02 12:42:31,12.65,30.72,0.08,1.09,0
2025-11-02 12:42:31,12.57,30.72,0.08,1.09,0
2025-11-02 12:42:31,12.5,30.72,0.08,1.09,0
2025-11-02 12:42:31,12.43,30.72,0.08,1.09,0
2025-11-02 12:42:31,12.35,30.72,0.08,1.09,0
